,Director,Director Counts
220,Alexander Payne,5
221,George Clooney,5
222,Tarsem Singh,5
223,Shawn Levy,9
224,Tomas Alfredson,3
225,Cameron Crowe,8
226,"Michael Apted, Curtis Hanson",1
227,Bradley Parker,1
228,Josh Trank,2
229,Marcus Dunstan,2
230,Baltasar Kormákur,4
231,Larry Charles,4
232,Josh Schwartz,1
233,Mark Tonderai,2
234,"Steve Martino, Mike Thurmeier",1
235,"James Mather, Steve Saint Leger",1
236,"Chris Renaud, Kyle Balda(co-director)",1
237,"Eric Darnell, Tom McGrath, Conrad Vernon",1
238,Peter Hedges,3
239,"Chris Butler, Sam Fell",1
240,David Koepp,4
241,Paul W.S. Anderson,9
242,Daniel Espinosa,2
243,M.J. Bassett,3
244,Akiva Schaffer,2
245,Jee-woon Kim,2
246,Joon-ho Bong,2
247,Chan-wook Park,2
248,Dan Scanlon,1
249,Kimberly Peirce,3
250,David Twohy,7
251,Spike Lee,20
252,Alonso Mayo,1
253,Benh Zeitlin,1
254,Stefan Ruzowitzky,1
255,Walter Salles,2
256,Lee Daniels,3
257,Pascal Laugier,1
258,Don Coscarelli,7
259,Nick Murphy,1
260,Steve McQueen,2
261,John Madden,10
262,Kathryn Bigelow,8
263,Richard Kelly,3
264,Jim Jarmusch,8
265,Tony Kaye,2
266,Richard Linklater,14
267,James Gunn,3
268,Patrick Hughes,1
269,Conor Allyn,1
270,Niels Arden Oplev,2
271,"Frank Miller, Robert Rodriguez",1
272,"Jon Lucas, Scott Moore",1
273,Taylor Hackford,10
274,Bank Tangjaitrong,1
275,Cal Brunker,2
276,Matt Orlando,1
277,Chris Wedge,2
278,Gabriel Sabloff,1
279,Guy Hamilton,6
280,Rob Reiner,16
281,Barry Levinson,21
282,Paul Verhoeven,8
283,David Mickey Evans,4
284,Alex Proyas,5
285,"Peter Farrelly, Bobby Farrelly",1
286,Terry Gilliam,11
287,Curtis Hanson,11
288,Tom Shadyac,7
289,Joe Johnston,8
290,"Andrew Adamson, Vicky Jenson",1
291,David Zucker,7
292,"Eric Bress, J. Mackye Gruber",1
293,"Eric Darnell, Tom McGrath",2
294,Ken Kwapis,7
295,Jay Chandrasekhar,6
296,Tim Story,7
297,Christophe Gans,2
298,Edward Zwick,10
299,Xavier Gens,2
300,"Mark Osborne, John Stevenson",1
301,Gabriele Muccino,3
302,Ron Howard,23
303,Peter Billingsley,1
304,Harald Zwart,6
305,Tom McGrath,2
306,Nimród Antal,3
307,Mike Mitchell,5
308,Tony Scott,16
309,Patrick Lussier,4
310,Michel Gondry,6
311,James Wan,8
312,Jennifer Yuh Nelson,1
313,Catherine Hardwicke,5
314,Jaume Collet-Serra,5
315,Stephen Daldry,5
316,Gary McKendry,1
317,James Bobin,2
318,Chris Miller,2
319,"Mike McCoy, Scott Waugh",1
320,Mabrouk El Mechri,1
321,Heitor Dhalia,1
322,Brad Peyton,3
323,Scott Hicks,8
324,"Henry Joost, Ariel Schulman",2
325,Ole Bornedal,3
326,Gareth Evans,1
327,Robert Lorenz,1
328,"Måns Mårlind, Björn Stein",2
329,James Watkins,2
330,"Jen Soska, Sylvia Soska",1
331,Philipp Stölzl,2
332,Stephen Frears,21
333,Jake Schreier,1
334,David Guy Levy,1
335,Walter Hill,19
336,Michael Hoffman,9
337,Rodrigo Cortés,2
338,Nicholas Jarecki,1
339,Barry Battles,1
340,Terrence Malick,8
341,William Friedkin,13
342,Debra Granik,1
343,Gregory Read,1
344,Kurt Wimmer,2
345,Gareth Edwards,2
346,Paul Feig,5
347,Jim Sharman,2
348,"Terry Gilliam, Terry Jones",1
349,John G. Avildsen,14
350,John Carpenter,18
351,James L. Brooks,5
352,Wolfgang Petersen,11
353,Joel Schumacher,23
354,Mel Brooks,9
355,Agnieszka Holland,4
356,Lasse Hallström,13
357,Iain Softley,6
358,Robert Rodriguez,12
359,Peter MacDonald,4
360,"Tony Bancroft, Barry Cook",1
361,"John Lasseter, Andrew Stanton(co-director)",1
362,Dominic Sena,6
363,Kevin Smith,10
364,Joel Gallen,3
365,Lee Tamahori,8
366,"Chris Wedge, Carlos Saldanha(co-director)",2
367,John Singleton,9
368,Peter Segal,8
369,Rob Schmidt,2
370,Terry Zwigoff,4
371,Brad Silberling,6
372,"Andrew Adamson, Kelly Asbury, Conrad Vernon",1
373,Andrew Douglas,1
374,Adam Shankman,9
375,George A. Romero,11
376,"Mark Neveldine, Brian Taylor",4
377,Nicholaus Goossen,1
378,"Jonathan Dayton, Valerie Faris",2
379,Paul McGuigan,7
380,Mel Gibson,4
381,Juan Carlos Fresnadillo,2
382,Kirsten Sheridan,2
383,Gabor Csupo,2
384,Matt Reeves,4
385,Oren Peli,1
386,Robert Luketic,7
387,"Byron Howard, Chris Williams",1
388,Eric Brevig,2
389,Shane Acker,1
390,Peter Cornwell,1
391,Dennis Iliadis,1
392,Grant Heslov,1
393,"Rob Letterman, Conrad Vernon",1
394,Nick Cassavetes,5
395,Christian Alvart,2
396,Michael Apted,23
397,George Tillman Jr.,4
398,Steve Pink,3
399,Paul Weitz,6
400,"Ethan Maniquis, Robert Rodriguez",1
401,Alexandre Aja,4
402,Jon Turteltaub,9
403,Tim Hill,4
404,Raja Gosnell,8
405,Chris Gorak,2
406,Craig Gillespie,4
407,"George Miller, Gary Eck(co-director), David Peers(co-director)",1
408,Matthijs van Heijningen Jr.,1
409,Alex Kurtzman,2
410,"Peter Lord, Jeff Newitt(co-director)",1
411,"Bobby Farrelly, Peter Farrelly",10
412,Shane Carruth,2
413,Susanne Bier,3
414,Ben Wheatley,3
415,John Gulager,2
416,David Cronenberg,18
417,Ken Loach,8
418,Wayne Thornley,1
419,Morgan O'Neill,1
420,Tom Vaughan,4
421,Dustin Hoffman,1
422,Josh Radnor,2
423,Nick Love,4
424,Adrian Grunberg,1
425,April Mullen,1
426,Declan O'Brien,2
427,James Marsh,3
428,Evan Oppenheimer,1
429,Lynne Ramsay,3
430,Derick Martini,2
431,Paolo Sorrentino,1
432,Mike Cahill,2
433,Lars von Trier,8
434,Eli Craig,2
435,David Lynch,12
436,Larry Clark,3
437,John Landis,16
438,Wes Ball,2
439,José Padilha,2
440,Dean Parisot,5
441,"Branden Chambers, Eric D. Chambers",1
442,Michael Cimino,5
443,Steven Lisberger,3
444,Hugh Wilson,7
445,Jim Henson,3
446,Leonard Nimoy,5
447,Renny Harlin,17
448,Steve Barron,6
449,Jonathan Lynn,9
450,Martin Brest,6
451,Henry Selick,4
452,Kevin Reynolds,8
453,John McNaughton,4
454,Stephen Norrington,3
455,Danny Leiner,2
456,Mark Dindal,3
457,John Woo,7
458,"Gary Trousdale, Kirk Wise",3
459,"Louis Leterrier, Corey Yuen",1
460,Clark Johnson,2
461,Jonathan Mostow,4
462,Jonathan Hensleigh,2
463,Alexander Witt,1
464,Garth Jennings,2
465,"Tim Johnson, Karey Kirkpatrick",1
466,Jason Reitman,5
467,Stefen Fangmeier,1
468,Mikael Håfström,4
469,"Jason Friedberg, Aaron Seltzer",4
470,Gregory Hoblit,6
471,Mark Steven Johnson,4
472,Peter Webber,3
473,Stephen J. Anderson,1
474,"Chris Miller, Raman Hui(co-director)",1
475,"Jimmy Hayward, Steve Martino",1
476,Lone Scherfig,3
477,Karyn Kusama,3
478,Kevin Macdonald,5
479,"Charles Guard, Thomas Guard",1
480,Wes Anderson,8
481,Olatunde Osunsanmi,1
482,Spike Jonze,3
483,Anton Corbijn,3
484,Lisa Cholodenko,3
485,Gary Winick,5
486,Samuel Bayer,1
487,Jesse Peretz,2
488,Steven Quale,1
489,Oliver Parker,5
490,Todd Strauss-Schulson,2
491,Todd Lincoln,1
492,Salim Akil,2
493,Jackie Chan,2
494,Matthew Spradlin,1
495,Damian Lee,2
496,"Mitchell Altieri, Phil Flores",2
497,Jonas Åkerlund,3
498,James Ponsoldt,2
499,Brian Dannelly,2
500,Elliott Lester,1
501,Jim Field Smith,2
502,Roman Polanski,13
503,Ti West,3
504,Ben Palmer,1
505,Ralph Fiennes,1
506,Stuart Beattie,2
507,Gregor Jordan,5
508,Steven R. Monroe,2
509,James Rabbitts,1
510,Howard McCain,1
511,Lexi Alexander,2
512,Richard Schenkman,1
513,David Slade,3
514,Todd Field,3
515,Harold Ramis,10
516,"Richard Lester, Richard Donner",1
517,Terry Jones,2
518,John Badham,13
519,Joe Dante,11
520,Jeremiah S. Chechik,5
521,Phil Alden Robinson,3
522,Howard Zieff,9
523,Robert De Niro,2
524,Andrew Davis,11
525,Chuck Russell,5
526,Jan de Bont,5
527,Tamra Davis,5
528,Joe Pytka,2
529,Jean-Pierre Jeunet,2
530,"Don Bluth, Gary Goldman",5
531,Nancy Meyers,5
532,John Frankenheimer,16
533,James Wong,4
534,Peyton Reed,5
535,Mimi Leder,4
536,Sharon Maguire,2
537,Jessie Nelson,3
538,Rod Lurie,5
539,Alejandro Amenábar,3
540,Thomas Carter,5
541,Tom Brady,3
542,Andy Tennant,8
543,Jesse Dylan,3
544,Dennie Gordon,3
545,Marcus Nispel,4
546,David S. Goyer,4
547,"Bibo Bergeron, Vicky Jenson, Rob Letterman",1
548,Kevin Bray,2
549,"Tim Burton, Mike Johnson",1
550,John Stockwell,7
551,Roger Kumble,5
552,Rob McKittrick,1
553,Eli Roth,3
554,Steve 'Spaz' Williams,1
555,Susannah Grant,1
556,"George Miller, Warren Coleman(co-director), Judy Morris(co-director)",1
557,"Simon J. Smith, Steve Hickner",1
558,Chris Weitz,3
559,"Robert Rodriguez, Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie",1
560,Bruce A. Evans,2
561,Russell Mulcahy,14
562,David Silverman,1
563,Mathieu Kassovitz,2
564,Roger Donaldson,15
565,Neil Marshall,4
566,Neil LaBute,8
567,David Frankel,4
568,Peter Sollett,2
569,"Jennifer Flackett, Mark Levin",1
570,Dave Filoni,1
571,Bryan Bertino,1
572,Kevin Tancharoen,1
573,Hoyt Yeatman,1
574,Tom Tykwer,3
575,Patrick Tatopoulos,1
576,"Michael Spierig, Peter Spierig",3
577,Jim Sheridan,8
578,"Ricky Gervais, Matthew Robinson",1
579,Richard Curtis,3
580,Breck Eisner,3
581,John Erick Dowdle,3
582,Rob Letterman,2
583,Julie Anne Robinson,3
584,Sylvain White,2
585,Jorma Taccone,1
586,Miguel Sapochnik,1
587,"Colin Strause, Greg Strause",2
588,John Luessenhop,2
589,Miguel Arteta,4
590,"Sarah Smith, Barry Cook(co-director)",1
591,John Putch,1
592,Hiromasa Yonebayashi,1
593,Brian Robbins,9
594,Franck Khalfoun,3
595,Zal Batmanglij,2
596,Jamie Travis,1
597,Megan Griffiths,1
598,Kern Saxton,1
599,"Kaare Andrews, Angela Bettis, Hélène Cattet, Ernesto Díaz Espinoza, Jason Eisener, Bruno Forzani, Adrián García Bogliano, Xavier Gens, Jorge Michel Grau, Lee Hardcastle, Noboru Iguchi, Thomas Cappelen Malling, Anders Morgenthaler, Yoshihiro Nishimura, Banjong Pisanthanakun, Simon Rumley, Marcel Sarmiento, Jon Schnepp, Srdjan Spasojevic, Timo Tjahjanto, Andrew Traucki, Nacho Vigalondo, Jake West, Ti West, Ben Wheatley, Adam Wingard, Yudai Yamaguchi",1
600,Amy Heckerling,9
601,Enrique Gato,1
602,Yaron Zilberman,1
603,Hadi Hajaig,1
604,Nicholas McCarthy,1
605,John Poliquin,1
606,Julia Leigh,1
607,Michael Brandt,1
608,David Mackenzie,5
609,John Wells,1
610,Géla Babluani,1
611,Abe Sylvia,1
612,Mike Mills,2
613,Adam Elliot,1
614,Atom Egoyan,7
615,Armando Iannucci,1
616,Tom Six,2
617,David Hollander,1
618,Sean Ellis,1
619,Mike Barker,4
620,"Oliver Parker, Barnaby Thompson",2
621,Ryan Fleck,1
622,Damien O'Donnell,2
623,Steven Shainberg,2
624,Robert Stromberg,1
625,Wolfgang Reitherman,1
626,Sidney Lumet,23
627,Woody Allen,39
628,Lewis Gilbert,6
629,Ted Kotcheff,9
630,Patricia Birch,1
631,Paul Brickman,2
632,George P. Cosmatos,7
633,Paul Michael Glaser,5
634,Rowdy Herrington,6
635,Herbert Ross,18
636,Ron Underwood,6
637,Marco Brambilla,2
638,Anthony Minghella,6
639,Jim Gillespie,3
640,John Dahl,8
641,Vincent Ward,3
642,Michael Cristofer,3
643,"Chris Weitz, Paul Weitz",1
644,Steven Brill,5
645,Joel Zwick,3
646,"Ron Clements, John Musker",5
647,Bo Welch,1
648,John Hamburg,2
649,Andy Cadiff,2
650,David R. Ellis,7
651,Takashi Shimizu,2
652,Jay Russell,3
