,Production,Production Counts
227,Samuel Goldwyn Company,4
228,Trimark Pictures,9
229,Compass International Pictures,1
230,American International Pictures,16
231,Hollywood Pictures,27
232,Universal Studios Home Video,7
233,Empire Pictures,7
234,Sony/Columbia,1
235,Sony Pictures/TriStar Pictures,2
236,Variance Films,4
237,Dada Films,1
238,IDP/Samuel goldwyn Films,7
239,Icon Entertainment International,1
240,Vivendi Entertainment,5
241,Senator International,1
242,Tartan Films (UK),1
243,Chloe Productions,1
244,Media Home Entertainment,41
245,Zweites Deutsches Fernsehen,1
246,Buena Vista Internationa,7
247,Walt Disney Pictures [us],1
248,Warner Independent,5
249,Focus/Rogue Pictures,1
250,Rogue,1
251,A24,2
252,After Dark Films,11
253,Well Go USA,4
254,7A Productions/Variance Films,1
255,Icon Entertainment,1
256,Bedlam Productions,1
257,SPE Aquisitions,1
258,Hole LLC.,1
259,Tartan Films/TLA Releasing,1
260,Moderncine,1
261,Peace Arch Entertainment,4
262,NCM Fathom,1
263,Fine Line Features,24
264,Nelson Entertainment,20
265,Bryanston Pictures,2
266,20th Century Fox Film Corporation,55
267,CBS Entertainment Production,1
268,Live Home Video,58
269,Tri Star,1
270,Showtime Networks Inc.,4
271,MGM/Columbia,1
272,Warners Bros. Pictures,1
273,Sony Screen Gems,3
274,Picturehouse Entertainment,1
275,IDP Distribution,4
276,Cinedigm,3
277,Hannover House,2
278,Olive Films,2
279,nWave Pictures,1
280,First Look Studios,6
281,Yari Film Group,14
282,Freestyle Releasing/Bauer Martinez Enter,1
283,F.D. Cinematografica,1
284,United Film Distribution Compa,4
285,Waner Bros.,1
286,MGM/UA Entertainment Company,4
287,Hemdale Film Corporation,2
288,Fathom Events,1
289,Happy Madison Productions,1
290,Lion&#39;s Gate Films,1
291,Rogue Pictures (Focus),2
292,DreamWorks/Paramount Distribution,1
293,Roadside Atrractions,1
294,Swan Design Studios,1
295,Metro-Goldwyn-Mayer Studios Inc.,1
296,Lionsgate/Pantelion Films,1
297,Magnolia Releasing,4
298,Rocket Releasing,1
299,Shangri-La Entertainment,1
300,AfterDark Films,1
301,First Look,7
302,Sydney Kimmel Entertainment,1
303,Animation House,1
304,Peace Arch Home Entertainment,1
305,Triumph Films,1
306,Dark Sky Films,3
307,Regent Releasing,6
308,Cinea,1
309,Cinecom Pictures,5
310,ABKCO Films,1
311,Libra Films,1
312,Cannon Films,2
313,Silver Screen Partners IV,2
314,Touchstone Home Entertainment,1
315,The Walt Disney Company,1
316,New Line Cinema.,1
317,Omega Entertainment,2
318,Lions Gate Releasing,14
319,Venus,1
320,MTV Films,2
321,Fox Faith,1
322,Drafthouse Films,3
323,Clarius Entertainment,2
324,Film Movement,2
325,TC Productions,1
326,After Dark Films/Independent Pictures,1
327,PMK-BNC,1
328,Distracted Media &amp; House Lights Media,1
329,MPI Media Group,2
330,Outsider Pictures,1
331,Samual Goldwyn Films,1
332,Touchstone Pictures/Miramax Films,1
333,Nasser Group,1
334,Screen Media Films,5
335,Christal Films,1
336,Absurda Inc.,1
337,The Weinstein Company/MGM,1
338,Fox Home Entertainment,1
339,October Films,5
340,Trimark,31
341,Orion Home Video,30
342,Atlantic,2
343,20th Century-Fox,1
344,MVD Music Video,4
