,Actor Names,Actor Counts
2828,Ken Kirzinger,1
2829,Monica Keena,3
2830,Jason Ritter,3
2831,Lindsay Duncan,5
2832,Adam Garcia,4
2833,Glenne Headly,12
2834,Alison Pill,6
2835,Pablo Schreiber,2
2836,Dorian Missick,1
2837,John Corbett,6
2838,Paz Vega,6
2839,Stephen Chow,1
2840,Xiaogang Feng,1
2841,Wah Yuen,1
2842,Zhihua Dong,1
2843,Petr Ratimec,1
2844,Barbora Lukesová,1
2845,Anna Rust,1
2846,Jeremy Robson,1
2847,Hubert Koundé,1
2848,Addison Timlin,3
2849,Deobia Oparei,1
2850,Ben Daniels,2
2851,Campbell Scott,8
2852,Laura Johnson,1
2853,Jesse L. Martin,1
2854,Jonah Bobo,2
2855,Martin Lawrence,18
2856,Emily Procter,2
2857,Zachary Levi,6
2858,Ryan Merriman,4
2859,Kris Lemche,3
2860,Alexz Johnson,1
2861,Samaire Armstrong,3
2862,Bree Turner,2
2863,Ebon Moss-Bachrach,2
2864,Gary Sinise,12
2865,Bahar Soomekh,1
2866,Don Thompson,2
2867,Gregg Henry,4
2868,Xantha Radley,1
2869,Kyle Gass,1
2870,JR Reed,1
2871,Ronnie James Dio,1
2872,Rafe Spall,3
2873,Steven Pasquale,1
2874,Reiko Aylesworth,1
2875,John Ortiz,2
2876,Johnny Lewis,2
2877,S. Epatha Merkerson,3
2878,Nicky Katt,4
2879,Naveen Andrews,5
2880,Amara Karan,1
2881,Madison Pettis,1
2882,Roselyn Sanchez,2
2883,Jerry Stiller,3
2884,John Krasinski,6
2885,Clifton Powell,4
2886,Jack Carpenter,2
2887,Danny Hoch,2
2888,Alex Veadov,1
2889,Belén Rueda,1
2890,Fernando Cayo,1
2891,Roger Príncep,1
2892,Mabel Rivera,1
2893,André Benjamin,5
2894,Colin Hanks,6
2895,Joseph Cross,4
2896,Yûsuke Iseya,1
2897,Jason Bermingham,1
2898,Eduardo Semerjian,1
2899,Don McKellar,3
2900,David Ryall,1
2901,Mary Kay Place,4
2902,Cameron Boyce,1
2903,Arika Gluck,1
2904,Doug Hutchison,5
2905,Colin Salmon,2
2906,Costas Mandylor,8
2907,Scott Patterson,2
2908,Betsy Russell,6
2909,Nicholas Elia,1
2910,Melissa Holroyd,1
2911,Dan Gerrity,2
2912,Arthur the Cat,1
2913,Saïd Taghmaoui,2
2914,Gustaf Hammarsten,1
2915,Clifford Bañagale,1
2916,Chibundu Orukwowu,1
2917,Yun-Fat Chow,9
2918,Bobby Campo,1
2919,Shantel VanSanten,1
2920,Nick Zano,1
2921,Haley Webb,1
2922,Molly Sims,1
2923,James Brolin,9
2924,Paul Rust,1
2925,Lauren London,1
2926,Jensen Ackles,2
2927,Betsy Rue,1
2928,Tomoko Yamaguchi,1
2929,Kazushige Nagashima,1
2930,Yûki Amami,1
2931,George Tokoro,1
2932,Steve Valentine,1
2933,Sage Ryan,1
2934,Sandro Dori,1
2935,Marion Cotillard,6
2936,Sarah Habel,1
2937,Shannon Eagen,1
2938,Edward Austin Kelly,1
2939,Mary Callaghan Lynch,1
2940,Tim McGraw,3
2941,Loretta Devine,10
2942,Peter Dinklage,7
2943,Tom Cavanagh,3
2944,Bruce Gleeson,1
2945,Eddie Ritchard,1
2946,Garry McDonald,1
2947,Bailee Madison,1
2948,Elisabeth Harnois,6
2949,Vinny Appice,1
2950,Joe Barresi,1
2951,Brian Bell,1
2952,Frank Black,1
2953,Jon Daly,2
2954,Kathryn Hahn,2
2955,Michael Yurchak,1
2956,Wood Harris,4
2957,James Cosmo,3
2958,Aneurin Barnard,2
2959,Wunmi Mosaku,1
2960,Ian Hanmore,1
2961,Jack Cullison,1
2962,Howard Cai,1
2963,Jonathan Brett,1
2964,Colbert Alembert,1
2965,Rebecca Gibney,1
2966,Hayley Magnus,1
2967,Nicole Freeman,1
2968,Chelsea Bennett,1
2969,Joyful Drake,1
2970,50 Cent,6
2971,Malcolm Goodwin,1
2972,Tim Heidecker,1
2973,Eric Wareheim,1
2974,Jeffrey Jensen,1
2975,James Murphy,1
2976,Joe Flanigan,2
2977,Anna-Louise Plowman,1
2978,Charlotte Beaumont,1
2979,Felicity Jones,7
2980,Michael Harring,1
2981,Mark Duplass,1
2982,Mike Birbiglia,3
2983,Amy Ryan,2
2984,Bobby Cannavale,6
2985,James Doherty,1
2986,Seamus O'Neill,1
2987,James Burrows,1
2988,Christopher Abbott,1
2989,Connor Paolo,2
2990,Gregory Jones,1
2991,Traci Hovel,1
2992,Nick Damici,1
2993,Craig Roberts,2
2994,Yasmin Paige,3
2995,Mark O'Neal,1
2996,Robert Orr,1
2997,Richard Ryan,1
2998,Joshua McIvor,1
2999,Jack Taylor,1
3000,Michael Dorman,1
3001,Katie Jarvis,1
3002,Kierston Wareing,1
3003,Rebecca Griffiths,1
3004,Charlie Creed-Miles,4
3005,David Bradley,5
3006,Vincent Pastore,2
3007,Nora Zehetner,1
3008,Lukas Haas,12
3009,Noah Fleiss,2
3010,Jon Foster,7
3011,Austin Nichols,3
3012,Kieran O'Brien,1
3013,Margo Stilley,1
3014,Marisol Nichols,2
3015,Vincent Miller,1
3016,David Caruso,7
3017,Stephen Gevedon,2
3018,Paul Guilfoyle,1
3019,Chloë Sevigny,7
3020,Brendan Sexton III,1
3021,David Duchovny,12
3022,Mary McCormack,6
3023,Tommy Wiseau,1
3024,Juliette Danielle,1
3025,Greg Sestero,1
3026,Philip Haldiman,1
3027,Sammi Davis,2
3028,Amanda De Cadenet,2
3029,Madonna,10
3030,Jeremy Theobald,1
3031,Alex Haw,1
3032,Lucy Russell,2
3033,John Nolan,1
3034,Damian Chapa,3
3035,Jesse Borrego,1
3036,Enrique Castillo,2
3037,Tracey Walter,2
3038,Olivia Barash,1
3039,Kathy Baker,10
3040,Jay Patterson,1
3041,Deborah Foreman,5
3042,Elizabeth Daily,7
3043,Joe Manganiello,2
3044,Josh Holloway,2
3045,Jason Dohring,1
3046,Enrico Colantoni,3
3047,Chris Lowell,1
3048,Sam J. Jones,2
3049,Melody Anderson,3
3050,Topol,3
3051,Michael Murphy,7
3052,Mariel Hemingway,9
3053,Klaus Maria Brandauer,7
3054,Barbara Carrera,5
3055,Phoebe Cates,8
3056,Michael Zorek,1
3057,Kay E. Kuter,1
3058,Dan Mason,1
3059,Lance Guest,3
3060,William Shatner,13
3061,DeForest Kelley,6
3062,James Doohan,6
3063,Alisa Freyndlikh,1
3064,Aleksandr Kaydanovskiy,1
3065,Anatoliy Solonitsyn,1
3066,Nikolay Grinko,1
3067,Paul Reubens,6
3068,Mark Holton,1
3069,Diane Salinger,2
3070,Rob Lowe,13
3071,Andrew McCarthy,10
3072,Kevin Kline,27
3073,Paul Hogan,6
3074,Linda Kozlowski,4
3075,John Meillon,3
3076,David Gulpilil,3
3077,Fisher Stevens,6
3078,Austin Pendleton,3
3079,Eric Stoltz,14
3080,Mary Stuart Masterson,13
3081,Craig Sheffer,11
3082,Matt Frewer,7
3083,Marcia Strassman,1
3084,Kristine Sutherland,1
3085,Leslie Nielsen,12
3086,Priscilla Presley,4
3087,Ricardo Montalban,1
3088,George Kennedy,9
3089,Amy Locane,3
3090,Susan Tyrrell,6
3091,Polly Bergen,2
3092,Kevin Peter Hall,1
3093,Rubén Blades,12
3094,Jessica Tandy,6
3095,Gary Kemp,2
3096,Bill Cobbs,2
3097,Brenda Blethyn,11
3098,Don Alder,1
3099,Ed Bernard,1
3100,Kevin Chevalia,1
3101,Anne Christianson,1
3102,Walter Matthau,18
3103,Mason Gamble,2
3104,Anna Paquin,11
3105,Elizabeth Perkins,15
3106,Rosie O'Donnell,5
3107,Matt Craven,4
3108,Julian Sands,14
3109,Lela Rochon,4
3110,Jane Leeves,1
3111,Joanna Lumley,3
3112,Wim Snape,1
3113,Steve Huison,1
3114,Sidney Poitier,12
3115,Michael Jai White,6
3116,Jim Robinson,1
3117,Mike Malone,1
3118,Anne Bancroft,16
3119,Jane Curtin,3
3120,Jennifer Tilly,7
3121,Nick Stabile,1
3122,Laura Harris,2
3123,Queen Latifah,11
3124,Michael Rooker,11
3125,Jacqueline McKenzie,3
3126,David Paymer,7
3127,Spike Jonze,1
3128,Kenneth Branagh,18
3129,Phil Daniels,2
3130,Lynn Ferguson,1
3131,Tony Haygarth,1
3132,Charles Malik Whitfield,2
3133,Method Man,2
3134,Redman,2
3135,Obba Babatundé,4
3136,Taylor Simpson,1
3137,Gabrielle Witcher,1
3138,Shannyn Sossamon,6
3139,Adam Trese,2
3140,Ron Eldard,7
3141,Jason Andrews,1
3142,Don McManus,2
3143,Courtney Love,4
3144,Stuart Townsend,4
3145,Alicia Witt,7
3146,Dana Ivey,1
3147,Christopher Shyer,1
3148,Ray Galletti,1
3149,Eileen Pedde,1
3150,Rekha Sharma,1
3151,A.J. Cook,2
3152,Michael Landes,4
3153,David Paetkau,1
3154,Tasha de Vasconcelos,1
3155,Ben Miller,3
3156,Greg Wise,2
3157,Larenz Tate,6
3158,Geno Silva,1
3159,Jason Raize,1
3160,Hector Elizondo,13
3161,Timothy Hutton,19
3162,Tom Kenny,3
3163,Rodger Bumpass,1
3164,Bill Fagerbakke,1
3165,Snoop Dogg,6
3166,Fred Williamson,6
3167,Shemar Moore,2
3168,Eion Bailey,2
3169,Will Kemp,1
3170,Kerry Condon,2
3171,Donal Logue,4
3172,Dina Spybey-Waters,1
3173,Kate Burton,2
3174,JoJo,2
3175,Jake McDorman,2
3176,Jon Lovitz,11
3177,Cheryl Hines,6
3178,Nathan Phillips,4
3179,Rachel Blanchard,1
3180,David O'Hara,5
3181,George Lopez,5
3182,Steve Austin,4
3183,Robert Mammone,2
3184,Tory Mussett,2
3185,Ryan Kwanten,3
3186,Michael Fairman,1
3187,Jordan Garrett,1
3188,Vanessa Redgrave,21
3189,Cécile Breccia,1
3190,Archie Kao,3
3191,Jay Acovone,2
3192,Heather Matarazzo,3
3193,Bijou Phillips,6
3194,Steve Pemberton,2
3195,Lily Atkinson,1
3196,Preston Nyman,1
3197,Patricia Clarkson,15
3198,Julian McMahon,2
3199,Shyann McClure,1
3200,Courtney Taylor Burness,1
3201,Sean Maguire,1
3202,Kevin Sorbo,3
3203,Robert Jauregui,1
3204,Timothy V. Murphy,1
3205,Luce Rains,1
3206,Lucas Grabeel,3
3207,Kelan Pannell,1
3208,Janette Scott,1
3209,Myleene Klass,1
3210,Robin Howard,1
3211,Matt McKenna,1
3212,Johnathon Schaech,4
3213,Shawn Ashmore,6
3214,Jennifer Hudson,2
3215,Alicia Keys,2
3216,Chase Wright Vanek,1
3217,Scout Taylor-Compton,3
3218,Billy Ray Cyrus,2
3219,Emily Osment,2
3220,Jason Earles,1
3221,Lucas McHugh Carroll,1
3222,Eddie Jemison,2
3223,Rusty Schwimmer,2
3224,Keir O'Donnell,2
3225,Raini Rodriguez,2
3226,Ryan Stiles,1
3227,Chris Massoglia,2
3228,Jessica Carlson,1
3229,James Keane,1
3230,Anna Felix,1
3231,Paul Herman,2
3232,Natalia Klimas,1
3233,Vincenzo Amato,1
3234,Will Shadley,1
3235,Stephen Merchant,2
3236,Ryan Sheckler,1
3237,Jenn Proske,1
3238,Chris Riggi,1
3239,Dong-Gun Jang,2
3240,Michelle Ang,1
3241,Aimee Teegarden,3
3242,Thomas McDonell,1
3243,DeVaughn Nixon,2
3244,Danielle Campbell,2
3245,Bud Luckey,1
3246,Eric Sheffer Stevens,1
3247,Julia Chan,1
3248,Ken Bevel,2
3249,Alex Kendrick,1
3250,Kevin Downes,1
3251,Renee Jewell,1
3252,Rowan Blanchard,1
3253,Mason Cook,2
3254,Masam Holden,1
3255,Kevin Zegers,8
3256,Charlotte Sullivan,1
3257,Petar Bachvarov,1
3258,Zachary Baharov,1
3259,Mimoza Bazova,1
3260,Richard Brancatisano,1
3261,Chris Betts,1
3262,Sharni Vinson,2
3263,Luke Goss,5
3264,Caroline Tillette,1
3265,Stephen Marcus,1
3266,Danny Midwinter,1
3267,Luke Kirby,5
3268,Ruth Negga,2
3269,A.C. Peterson,2
3270,Michael Paré,12
3271,Ian Robison,1
3272,Deborah Ann Woll,1
3273,Joseph Dunn,1
3274,Ann Osmond,1
3275,J. Smith-Cameron,2
3276,Jeannie Berlin,2
3277,Rory Markham,1
3278,Nicole Vicius,1
3279,Davenia McFadden,1
3280,Stella Schnabel,1
3281,Glenn Kubota,1
3282,Viva Bianca,1
3283,Hanna Mangan Lawrence,1
3284,Peter Docker,1
3285,Stephen Phillips,1
3286,Brianna Barnes,1
3287,Brayden Edwards,1
3288,Miquita Oliver,1
3289,Rick Edwards,2
3290,Laurence R. Harvey,1
3291,Maddi Black,1
3292,Kandace Caine,1
3293,Carrie MacLemore,1
3294,Megalyn Echikunwoke,2
3295,Analeigh Tipton,2
3296,Ed Ackerman,1
3297,Guillaume Canet,2
3298,Yorick van Wageningen,1
3299,Ermahn Ospina,1
3300,Jake Hames,1
3301,James Frecheville,1
3302,Bryce Lindemann,1
3303,Paul Smits,1
3304,Jacki Weaver,2
3305,Sean Marquette,1
3306,Rupert Frazer,2
3307,Adar Beck,1
3308,Gemma Chan,2
3309,Nathalie Cox,2
3310,John Lloyd Fillingham,1
3311,Dante Basco,1
3312,Julia Voth,1
3313,Erin Cummings,1
3314,Michael Hurst,1
3315,Ian Somerhalder,3
3316,Phyllis Applegate,1
3317,Troy Lindsey Brown,1
3318,Haley Bennett,3
3319,Margarita Levieva,3
3320,Chase Ellison,2
3321,George Webster,1
3322,Rachael Nastassja Kraft,1
3323,Lisa Long,1
3324,Blythe Auffarth,1
3325,Blanche Baker,3
3326,Kevin Chamberlin,1
3327,Lauren Birkell,1
3328,Paul Borghese,1
3329,Chira Cassel,1
3330,Anthony Cirillo,1
3331,Emilio Rivera,1
3332,Gina La Piana,1
3333,Dana de Celis,1
3334,Chris Barrie,1
3335,Jean Heywood,1
3336,Jamie Draven,1
3337,Gary Lewis,1
3338,Jacob Sewell,1
3339,Nick Sutton,1
3340,Lara Tosh,1
3341,Jacob Reynolds,1
3342,Yvonne Zima,2
3343,Ossie Davis,7
3344,Ruby Dee,4
3345,Richard Edson,1
3346,Helmut Qualtinger,1
3347,Elya Baskin,1
3348,Laurence Olivier,14
3349,Claire Bloom,10
3350,Ursula Andress,5
3351,Iain De Caestecker,1
3352,Matt Smith,3
3353,Marilyn Burns,3
3354,Allen Danziger,1
3355,Paul A. Partain,1
3356,William Vail,1
3357,Alain Cuny,1
3358,Sylvia Kristel,7
3359,Marika Green,1
3360,Daniel Sarky,1
3361,Warren Oates,15
3362,Ramon Bieri,3
3363,Gregory Peck,6
3364,Lee Remick,6
3365,Billie Whitelaw,4
3366,Betsy Palmer,1
3367,Adrienne King,2
3368,Jeannine Taylor,1
3369,Robbi Morgan,1
3370,Strother Martin,5
3371,Edie Adams,3
3372,Jim Henson,8
3373,Kathryn Mullen,3
3374,Frank Oz,11
3375,Dave Goelz,7
3376,Dan Monahan,5
3377,Mark Herrier,4
3378,Wyatt Knight,3
3379,Roger Wilson,2
3380,Richard Pryor,22
3381,Marc McClure,3
3382,Kim Darby,4
3383,Demian Slade,1
3384,Taimak,1
3385,Vanity,3
3386,Christopher Murney,1
3387,Julius Carry,1
3388,Michael Moriarty,9
3389,Carrie Snodgress,7
3390,Joey Cramer,1
3391,Cliff De Young,8
3392,Ellen Latzen,1
3393,Tung Thanh Tran,1
3394,Chintara Sukapatana,1
3395,Trey Wilson,2
3396,Catherine Hicks,6
3397,Alex Vincent,2
3398,Judith Barsi,2
3399,Pat Hingle,6
3400,Gabriel Damon,2
3401,Helen Shaver,7
3402,Dale Midkiff,4
3403,Fred Gwynne,2
3404,Denise Crosby,3
3405,Brad Greenquist,1
3406,Marc de Jonge,1
3407,Kurtwood Smith,7
3408,Jean Louisa Kelly,2
3409,Elizabeth Peña,8
3410,Balthazar Getty,2
3411,Chris Furrh,1
3412,Danuel Pipoly,1
3413,Sage Stallone,2
3414,Justin Whalin,2
3415,Perrey Reeves,1
3416,Jeremy Sylvers,1
3417,Travis Fine,1
3418,Xander Berkeley,7
3419,Samantha Mathis,8
3420,Leon,4
3421,Doug E. Doug,3
3422,Rawle D. Lewis,1
3423,Malik Yoba,2
3424,Art Carney,7
3425,Ming-Na Wen,3
3426,David Goldman,1
3427,Joseph Wayne Miller,1
3428,Cody Burger,1
3429,Peter Gallagher,14
3430,Robin Tunney,8
3431,Rachel True,2
3432,Amy Brenneman,5
3433,Ian Richardson,5
3434,Natalie Desselle Reid,3
3435,Alex D. Linz,3
3436,Olek Krupa,1
3437,Rya Kihlstedt,2
3438,Lenny von Dohlen,2
3439,Talisa Soto,2
3440,Sandra Hess,2
3441,Mira Sorvino,9
3442,Lisa Kudrow,12
3443,Rade Serbedzija,5
3444,Valeriy Nikolaev,1
3445,Dennis Franz,3
3446,Lacey Chabert,5
3447,Delroy Lindo,12
3448,David Arquette,8
3449,Michael Vartan,5
3450,Molly Shannon,4
3451,Matthew Perry,10
3452,Rosanna Arquette,13
3453,Michael Rapaport,5
3454,Miriam Shor,3
3455,Colton James,1
3456,Dylan Baker,7
3457,Marianne Jean-Baptiste,2
3458,Alfre Woodard,11
3459,Max Casella,2
3460,Shawn Doyle,1
3461,Elizabeth Mitchell,4
3462,Brooke Langton,2
3463,Orlando Jones,8
3464,Katharine Towne,1
3465,DMX,4
3466,Isaiah Washington,5
3467,Camilla Rutherford,1
3468,Shannon Elizabeth,5
3469,John Witherspoon,3
3470,Don 'D.C.' Curry,1
3471,DJ Qualls,1
3472,Jerod Mixon,1
3473,Benjamin Salisbury,2
3474,Darnell Williams,1
3475,Jeff Garlin,2
3476,Regina King,7
3477,Damian Lewis,5
3478,Estella Warren,2
3479,Cleo King,1
3480,Constance Jones,1
3481,Bruce Altman,3
3482,Mark Aisbett,1
3483,Jon Abrahams,2
3484,Tara Reid,7
3485,Tom Fisher,1
3486,Dean Cain,3
3487,Steve Coogan,9
3488,Robert Fyfe,1
3489,Lambert Wilson,3
3490,Aidan McArdle,3
3491,Marc Blucas,3
3492,Amerie,1
3493,Hilary Duff,10
3494,Oliver James,1
3495,David Keith,6
3496,Dana Davis,2
3497,Billy Boyd,2
3498,Mika Boorem,2
3499,Sam Huntington,5
3500,Cedric the Entertainer,9
3501,Michelle Horn,2
3502,Jesper Christensen,1
3503,Sammi Kane Kraft,1
3504,Sienna Miller,8
3505,Alberto Reyes,1
3506,Julio Oscar Mechoso,2
3507,Gustavo Sánchez Parra,1
3508,Adrian Alonso,3
3509,Peter Sallis,1
3510,Peter Kay,2
3511,Jenna Stern,1
3512,Carly Schroeder,4
3513,Xzibit,3
3514,L. Scott Caldwell,1
3515,Leon Rippy,1
3516,Missy Peregrym,1
3517,Vanessa Lengies,1
3518,Nikki SooHoo,1
3519,Carmen Maura,1
3520,Lola Dueñas,1
3521,Blanca Portillo,1
3522,Tommy Flanagan,4
3523,Tessa Thompson,2
3524,Anthony Piccininni,1
3525,Tom Georgeson,3
3526,Michael Maloney,1
3527,Jeremy Northam,11
3528,Jackson Bond,2
3529,Scott Porter,4
3530,Nick Bacon,1
3531,Andrew Wyatt,1
3532,Richard Portnow,1
3533,Ne-Yo,1
3534,Darrin Dewitt Henson,2
3535,Mako,9
3536,Frank Whaley,7
3537,Parker Posey,8
3538,Eva Longoria,3
3539,Richard E. Grant,8
3540,Nick Prideaux,1
3541,Michael Feast,1
3542,Jason Spevack,2
3543,Shahkrit Yamnarm,1
3544,Charlie Yeung,2
3545,Panward Hemmanee,1
3546,Teddy Geiger,1
3547,Josh Gad,3
3548,Dylan Moran,3
3549,Drake Bell,2
3550,Zulay Henao,3
3551,Michael Rivera,1
3552,Mark Rolston,2
3553,Oscar Steer,1
3554,Lil Woods,1
3555,Joey King,2
3556,Dustin Milligan,4
3557,Chris Carmack,4
3558,Katharine McPhee,2
3559,Keke Palmer,6
3560,Jeremy Jordan,1
3561,Travis Pastrana,2
3562,Jolene Van Vugt,1
3563,Tommy Passemante,1
3564,Jim DeChamp,1
3565,Dean Norris,2
3566,Felicity Price,1
3567,Antony Starr,1
3568,Riz Ahmed,3
3569,Ed Skrein,3
3570,Lee Allen,1
3571,Mem Ferda,2
3572,Mike O'Brian,1
3573,Jack O'Connell,3
3574,Melissa Leo,5
3575,Emma Rayne Lyle,1
3576,JR Bourne,1
3577,Noel Clarke,4
3578,Antonia Campbell-Hughes,2
3579,Laura Haddock,3
3580,Joshua Close,2
3581,Rachel Miner,3
3582,Dean Geyer,1
3583,Alex Meraz,1
3584,Todd Duffee,1
3585,Neil Maskell,2
3586,MyAnna Buring,2
3587,Harry Simpson,1
3588,Michael Smiley,2
3589,Brian Presley,2
3590,Melanie Lynskey,3
3591,Christine Lahti,8
3592,Alison Woods,1
3593,Logan Stalarow,1
3594,Julie Dolan,1
3595,Shanley Caswell,1
3596,Sammy Williams,1
3597,Iwan Rheon,1
3598,Molly Parker,6
3599,Daniel Roebuck,3
3600,Michael Algieri,1
3601,Bram Barouh,1
3602,Dana Barron,1
3603,Peter Wight,3
3604,Chris Pontius,2
3605,Erin Wasson,1
3606,Alexandra Williams,1
3607,Mykel Shannon Jenkins,1
3608,Hristo Shopov,3
3609,Ed Begley Jr.,10
3610,Pat Carroll,2
3611,Chris Marquette,3
3612,Emily VanCamp,2
3613,Amy Irving,7
3614,Jocelin Donahue,1
3615,Tom Noonan,2
3616,Mary Woronov,2
3617,Carmen Ejogo,3
3618,Holly Valance,1
3619,Sarah Carter,3
3620,Sherry Miller,2
3621,Robert Joy,7
3622,Paul Dawson,2
3623,Lindsay Beamish,1
3624,Adam Hardman,1
3625,Sook-Yin Lee,1
3626,Tom Budge,1
3627,David Carradine,14
3628,Jennifer Morrison,4
3629,Scott Wilson,7
3630,Rochelle Aytes,3
3631,Quinn Lord,1
3632,Kelly Reilly,3
3633,Tara Ellis,1
3634,Stacey Dash,4
3635,Leslie Bibb,7
3636,Carlos Amezcua,1
3637,Curtis Armstrong,4
3638,Robert Benz,1
3639,Todd Berger,1
3640,Evan Rachel Wood,11
3641,Willis Burks II,1
3642,Laura Kachergus,1
3643,Shiri Appleby,1
3644,Henry Czerny,7
3645,Harriet Andersson,2
3646,Lauren Bacall,12
3647,Jean-Marc Barr,4
3648,Blake Heron,2
3649,Clark Gregg,1
3650,Michael Badalucco,1
3651,Nigel Bennett,1
3652,Timothy Webber,1
3653,John Roselius,1
3654,Louis Eppolito,1
3655,Gary Farmer,3
3656,Andie MacDowell,15
3657,Laura San Giacomo,4
3658,Timothy Balme,1
3659,Diana Peñalver,1
3660,Elizabeth Moody,1
3661,Ian Watkin,1
3662,Judy Davis,17
3663,Tyrin Turner,1
3664,June Kyoto Lu,1
3665,Toshi Toda,1
3666,Farrah Fawcett,8
3667,Dom DeLuise,17
3668,Robert Kerman,1
3669,Francesca Ciardi,1
3670,Perry Pirkanen,1
3671,Luca Barbareschi,1
3672,Jack Lemmon,17
3673,Juliet Mills,3
3674,Clive Revill,4
3675,Edward Andrews,1
3676,Allen Garfield,6
3677,Jerry Reed,8
3678,Mike Henry,1
3679,Bob Newhart,5
3680,Eva Gabor,2
3681,Geraldine Page,4
3682,Joe Flynn,3
3683,David Emge,1
3684,Ken Foree,6
3685,Scott H. Reiniger,1
3686,Gaylen Ross,1
3687,Dudley Moore,15
3688,Bo Derek,5
3689,Robert Webber,3
3690,Bernadette Peters,6
3691,Catlin Adams,2
3692,Mabel King,1
3693,Raymond Burr,3
3694,Chuck Connors,3
3695,Robert Loggia,17
3696,Bob Geldof,1
3697,Christine Hargreaves,1
3698,James Laurenson,3
3699,Eleanor David,1
3700,Bob Balaban,7
3701,Grace Jones,2
3702,Wilt Chamberlain,1
3703,Zack Norman,1
3704,Lucy Gutteridge,1
3705,Jeremy Kemp,5
3706,Steve Railsback,7
3707,Peter Firth,5
3708,Frank Finlay,4
3709,Mathilda May,1
3710,Adam Cockburn,1
3711,Tina Turner,1
3712,Brigitte Nielsen,2
3713,Reni Santoni,2
3714,Andrew Robinson,3
3715,Vincent Price,6
3716,Barrie Ingham,2
3717,Val Bettin,1
3718,Susanne Pollatschek,1
3719,Sheb Wooley,1
3720,Alfonso Arau,1
3721,Judge Reinhold,10
3722,Craig Wasson,3
3723,Spalding Gray,4
3724,Brad Johnson,7
3725,Ken Takakura,3
3726,Patti LuPone,3
3727,Joey Lawrence,2
3728,Billy Joel,2
3729,Richard Mulligan,7
3730,Jonathan Silverman,6
3731,Catherine Mary Stewart,4
3732,Terry Kiser,3
3733,J.E. Freeman,1
3734,Rik Mayall,5
3735,Marsha Mason,8
3736,Tim Matheson,7
3737,James Coburn,17
3738,Paige Turco,2
3739,Michelan Sisti,1
3740,Leif Tilden,1
3741,Kimberly Williams-Paisley,5
3742,Kieran Culkin,5
3743,Chelsea Field,6
3744,Noble Willingham,2
3745,Billy Campbell,5
3746,Adrian Dunbar,3
3747,Goldie Hawn,18
3748,Thomas Gibson,2
3749,Robert Prosky,11
3750,Jonathan Ward,3
3751,David Moscow,2
3752,Luke Edwards,5
3753,Wendy Makkena,2
3754,Jo Marr,1
3755,Gary Hershberger,2
3756,Ally Walker,3
3757,Ed O'Ross,2
3758,Janine Turner,2
3759,Jayne Atkinson,3
3760,August Schellenberg,5
3761,Mary Wickes,1
3762,Suzy Amis,4
3763,Caroline Goodall,3
3764,Eric Lloyd,3
3765,Raymond J. Barry,5
3766,Stockard Channing,15
3767,Annabeth Gish,8
3768,Denise Dowse,1
3769,Dara Tomanovich,1
3770,Kevin West,1
3771,Cliff Robertson,10
3772,Minnie Driver,8
3773,Alexandra Wilson,1
3774,Ron Rifkin,3
3775,Eddie Griffin,9
3776,Arija Bareikis,1
3777,Kel Mitchell,3
3778,Jascha Washington,2
3779,Rob Brown,6
3780,Horatio Sanz,3
3781,Bam Margera,2
3782,Steve-O,1
3783,Aaliyah,2
3784,Vincent Perez,3
3785,Rider Strong,1
3786,Jordan Ladd,2
3787,James DeBello,4
3788,Cerina Vincent,1
3789,Kenan Thompson,6
3790,Kyla Pratt,4
3791,Shedrack Anderson III,2
3792,Zuleikha Robinson,1
3793,Omar Sharif,5
3794,Louise Lombard,1
3795,Takeshi Kaneshiro,4
3796,Andy Lau,3
3797,Dandan Song,1
3798,Irma P. Hall,4
3799,J.K. Simmons,6
3800,Ashley Olsen,8
3801,Mary-Kate Olsen,9
3802,Andy Richter,1
3803,Omarion,1
3804,Marques Houston,1
3805,Jennifer Freeman,1
3806,Jarell Houston,1
3807,Jimmy Fallon,4
3808,Jack Kehler,1
3809,John Jarratt,1
3810,Cassandra Magrath,1
3811,Kestie Morassi,1
3812,Taylor Lautner,4
3813,Taylor Dooley,1
3814,Cayden Boyd,1
3815,Eddie Cibrian,2
3816,Thomas Curtis,1
3817,Elle Peterson,1
3818,Jed Rees,1
3819,Katija Pevec,1
3820,Greg Andrews,1
3821,Monica,1
3822,Brandon Bernard Benton,1
3823,Adam Boyer,1
3824,Bruce Greenwood,12
3825,Li Sun,1
3826,Yong Dong,1
3827,Yun Qu,1
3828,Jasper Polish,1
3829,Desmond Askew,3
3830,Bonnie Aarons,1
3831,Michael Adler,1
3832,Kelsey Keel,1
3833,Danielle Savre,2
3834,Donna Murphy,4
3835,John Henry Cox,1
3836,Nate Hartley,1
3837,Troy Gentile,2
3838,Ian Roberts,2
3839,Jordan Carlos,1
3840,Dequina Moore,1
3841,Joseph Badalucco Jr.,1
3842,Jessica Simpson,4
3843,Kanye West,1
3844,Deepak Chopra,1
3845,Sharon Leal,3
3846,Gillian Anderson,5
3847,Chad Allen,2
3848,Bill Birch,1
3849,Brooke Bloom,1
3850,Zach Cregger,1
3851,Trevor Moore,1
3852,Molly Stanton,1
3853,Zach Gilford,2
3854,Teri Andrez,1
3855,Adam Barrie,1
3856,Megan Wolfley,1
3857,Robert Belushi,1
